Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest (GridSearchCV),0.7810945273631841,0.48717948717948717,0.4418604651162791,0.4634146341463415,0.6757433029143362
Gaussian Naive Bayes,0.36318407960199006,0.2392638036809816,0.9069767441860465,0.3786407766990291,0.7111421842802472
Logistic Regression (GridSearchCV),0.5870646766169154,0.26744186046511625,0.5348837209302325,0.35658914728682173,0.6234913158669414
XGBoost,0.7263681592039801,0.34210526315789475,0.3023255813953488,0.32098765432098764,0.6284957315278187
